name total correct accuracy error macro_f1
eurosat/16shots/2run/32prompts/seed1 8100 6374 78,7 21,3 77,8
eurosat/16shots/2run/32prompts/seed2 8100 6368 78,6 21,4 77,8
eurosat/16shots/2run/32prompts/seed3 8100 6367 78,6 21,4 77,9
eurosat/16shots/3run/1prompts/seed1 8100 6369 78,6 21,4 78,0
eurosat/16shots/3run/1prompts/seed2 8100 6642 82,0 18,0 81,2
eurosat/16shots/3run/1prompts/seed3 8100 6425 79,3 20,7 78,7
eurosat/16shots/3run/2prompts/seed1 8100 6651 82,1 17,9 81,3
eurosat/16shots/3run/2prompts/seed2 8100 6565 81,0 19,0 80,3
eurosat/16shots/3run/2prompts/seed3 8100 6628 81,8 18,2 81,2
eurosat/16shots/3run/4prompts/seed1 8100 6662 82,2 17,8 81,6
eurosat/16shots/3run/4prompts/seed2 8100 6667 82,3 17,7 81,4
eurosat/16shots/3run/4prompts/seed3 8100 6526 80,6 19,4 80,0
eurosat/16shots/3run/8prompts/seed1 8100 6679 82,5 17,5 81,6
eurosat/16shots/3run/8prompts/seed2 8100 6613 81,6 18,4 80,8
eurosat/16shots/3run/8prompts/seed3 8100 6623 81,8 18,2 81,2
eurosat/16shots/3run/16prompts/seed1 8100 6615 81,7 18,3 81,1
eurosat/16shots/3run/16prompts/seed2 8100 6475 79,9 20,1 79,2
eurosat/16shots/3run/16prompts/seed3 8100 6571 81,1 18,9 80,4
eurosat/16shots/3run/32prompts/seed1 8100 6374 78,7 21,3 77,8
eurosat/16shots/3run/32prompts/seed2 8100 6368 78,6 21,4 77,8
eurosat/16shots/3run/32prompts/seed3 8100 6367 78,6 21,4 77,9
eurosat/16shots/4run/1prompts/seed1 8100 6369 78,6 21,4 78,0
eurosat/16shots/4run/1prompts/seed2 8100 6652 82,1 17,9 81,3
eurosat/16shots/4run/1prompts/seed3 8100 6424 79,3 20,7 78,7
eurosat/16shots/4run/2prompts/seed1 8100 6581 81,2 18,8 80,5
eurosat/16shots/4run/2prompts/seed2 8100 6681 82,5 17,5 81,8
eurosat/16shots/4run/2prompts/seed3 8100 6629 81,8 18,2 81,2
eurosat/16shots/4run/4prompts/seed1 8100 6612 81,6 18,4 81,0
eurosat/16shots/4run/4prompts/seed2 8100 6673 82,4 17,6 81,5
eurosat/16shots/4run/4prompts/seed3 8100 6531 80,6 19,4 80,2
eurosat/16shots/4run/8prompts/seed1 8100 6557 81,0 19,0 80,1
eurosat/16shots/4run/8prompts/seed2 8100 6611 81,6 18,4 80,8
eurosat/16shots/4run/8prompts/seed3 8100 6708 82,8 17,2 82,1
eurosat/16shots/4run/16prompts/seed1 8100 6615 81,7 18,3 81,1
eurosat/16shots/4run/16prompts/seed2 8100 6479 80,0 20,0 79,3
eurosat/16shots/4run/16prompts/seed3 8100 6571 81,1 18,9 80,4
eurosat/16shots/4run/32prompts/seed1 8100 6374 78,7 21,3 77,8
eurosat/16shots/4run/32prompts/seed2 8100 6355 78,5 21,5 77,7
eurosat/16shots/4run/32prompts/seed3 8100 6367 78,6 21,4 77,9
eurosat/16shots/5run/1prompts/seed1 8100 6369 78,6 21,4 78,0
eurosat/16shots/5run/1prompts/seed2 8100 6644 82,0 18,0 81,2
eurosat/16shots/5run/1prompts/seed3 8100 6333 78,2 21,8 77,5
eurosat/16shots/5run/2prompts/seed1 8100 6581 81,2 18,8 80,5
eurosat/16shots/5run/2prompts/seed2 8100 6681 82,5 17,5 81,8
eurosat/16shots/5run/2prompts/seed3 8100 6628 81,8 18,2 81,2
eurosat/16shots/5run/4prompts/seed1 8100 6612 81,6 18,4 81,0
eurosat/16shots/5run/4prompts/seed2 8100 6673 82,4 17,6 81,5
eurosat/16shots/5run/4prompts/seed3 8100 6524 80,5 19,5 80,0
eurosat/16shots/5run/8prompts/seed1 8100 6681 82,5 17,5 81,6
eurosat/16shots/5run/8prompts/seed2 8100 6613 81,6 18,4 80,8
eurosat/16shots/5run/8prompts/seed3 8100 6708 82,8 17,2 82,1
eurosat/16shots/5run/16prompts/seed1 8100 6615 81,7 18,3 81,1
eurosat/16shots/5run/16prompts/seed2 8100 6509 80,4 19,6 79,6
eurosat/16shots/5run/16prompts/seed3 8100 6574 81,2 18,8 80,4
eurosat/16shots/5run/32prompts/seed1 8100 6374 78,7 21,3 77,8
eurosat/16shots/5run/32prompts/seed2 8100 6368 78,6 21,4 77,8
eurosat/16shots/5run/32prompts/seed3 8100 6359 78,5 21,5 77,9
oxford_pets/16shots/1run/1prompts/seed1 3669 3248 88,5 11,5 88,5
oxford_pets/16shots/1run/1prompts/seed2 3669 3239 88,3 11,7 88,2
oxford_pets/16shots/1run/1prompts/seed3 3669 3240 88,3 11,7 88,2
oxford_pets/16shots/1run/2prompts/seed1 3669 3236 88,2 11,8 88,0
oxford_pets/16shots/1run/2prompts/seed2 3669 3202 87,3 12,7 87,1
oxford_pets/16shots/1run/2prompts/seed3 3669 3234 88,1 11,9 88,0
oxford_pets/16shots/1run/4prompts/seed1 3669 3252 88,6 11,4 88,4
oxford_pets/16shots/1run/4prompts/seed2 3669 3235 88,2 11,8 88,0
oxford_pets/16shots/1run/4prompts/seed3 3669 3260 88,9 11,1 88,7
oxford_pets/16shots/1run/8prompts/seed1 3669 3252 88,6 11,4 88,4
oxford_pets/16shots/1run/8prompts/seed2 3669 3264 89,0 11,0 88,8
oxford_pets/16shots/1run/8prompts/seed3 3669 3266 89,0 11,0 88,8
oxford_pets/16shots/1run/16prompts/seed1 3669 3274 89,2 10,8 89,0
oxford_pets/16shots/1run/16prompts/seed2 3669 3273 89,2 10,8 89,0
oxford_pets/16shots/1run/16prompts/seed3 3669 3277 89,3 10,7 89,1
oxford_pets/16shots/1run/32prompts/seed1     
oxford_pets/16shots/1run/32prompts/seed2     
oxford_pets/16shots/1run/32prompts/seed3     
oxford_pets/16shots/2run/1prompts/seed1 3669 3246 88,5 11,5 88,4
oxford_pets/16shots/2run/1prompts/seed2 3669 3244 88,4 11,6 88,3
oxford_pets/16shots/2run/1prompts/seed3 3669 3246 88,5 11,5 88,3
oxford_pets/16shots/2run/2prompts/seed1 3669 3238 88,3 11,7 88,0
oxford_pets/16shots/2run/2prompts/seed2 3669 3210 87,5 12,5 87,3
oxford_pets/16shots/2run/2prompts/seed3 3669 3234 88,1 11,9 88,0
oxford_pets/16shots/2run/4prompts/seed1 3669 3241 88,3 11,7 88,1
oxford_pets/16shots/2run/4prompts/seed2 3669 3254 88,7 11,3 88,6
oxford_pets/16shots/2run/4prompts/seed3 3669 3265 89,0 11,0 88,9
oxford_pets/16shots/2run/8prompts/seed1 3669 3251 88,6 11,4 88,3
oxford_pets/16shots/2run/8prompts/seed2 3669 3264 89,0 11,0 88,8
oxford_pets/16shots/2run/8prompts/seed3 3669 3269 89,1 10,9 88,9
oxford_pets/16shots/2run/16prompts/seed1 3669 3273 89,2 10,8 88,9
oxford_pets/16shots/2run/16prompts/seed2 3669 3273 89,2 10,8 89,0
oxford_pets/16shots/2run/16prompts/seed3 3669 3277 89,3 10,7 89,1
oxford_pets/16shots/2run/32prompts/seed1     
oxford_pets/16shots/2run/32prompts/seed2     
oxford_pets/16shots/2run/32prompts/seed3     
oxford_pets/16shots/3run/1prompts/seed1 3669 3240 88,3 11,7 88,3
oxford_pets/16shots/3run/1prompts/seed2 3669 3245 88,4 11,6 88,4
oxford_pets/16shots/3run/1prompts/seed3 3669 3243 88,4 11,6 88,3
oxford_pets/16shots/3run/2prompts/seed1 3669 3237 88,2 11,8 88,0
oxford_pets/16shots/3run/2prompts/seed2 3669 3212 87,5 12,5 87,4
oxford_pets/16shots/3run/2prompts/seed3 3669 3238 88,3 11,7 88,1
oxford_pets/16shots/3run/4prompts/seed1 3669 3242 88,4 11,6 88,1
oxford_pets/16shots/3run/4prompts/seed2 3669 3255 88,7 11,3 88,6
oxford_pets/16shots/3run/4prompts/seed3 3669 3254 88,7 11,3 88,6
oxford_pets/16shots/3run/8prompts/seed1 3669 3252 88,6 11,4 88,4
oxford_pets/16shots/3run/8prompts/seed2 3669 3251 88,6 11,4 88,5
oxford_pets/16shots/3run/8prompts/seed3 3669 3267 89,0 11,0 88,9
oxford_pets/16shots/3run/16prompts/seed1 3669 3273 89,2 10,8 88,9
oxford_pets/16shots/3run/16prompts/seed2 3669 3273 89,2 10,8 89,0
