name total correct accuracy error macro_f1
dtd/4shots/4ctx/4prompts/seed2 1692 973 57.5 42.5 56.7
dtd/4shots/4ctx/4prompts/seed3 1692 981 58.0 42.0 56.9
dtd/4shots/8ctx/2prompts/seed1 1692 934 55.2 44.8 54.6
dtd/4shots/8ctx/2prompts/seed2 1692 959 56.7 43.3 55.3
dtd/4shots/8ctx/2prompts/seed3 1692 976 57.7 42.3 56.7
dtd/4shots/16ctx/1prompts/seed1 1692 885 52.3 47.7 51.7
dtd/4shots/16ctx/1prompts/seed2 1692 932 55.1 44.9 54.0
dtd/4shots/16ctx/1prompts/seed3 1692 922 54.5 45.5 53.6
dtd/8shots/1ctx/16prompts/seed1 1692 1076 63.6 36.4 62.7
dtd/8shots/1ctx/16prompts/seed2 1692 1064 62.9 37.1 62.3
dtd/8shots/1ctx/16prompts/seed3 1692 1063 62.8 37.2 62.3
dtd/8shots/2ctx/8prompts/seed1 1692 1066 63.0 37.0 62.2
dtd/8shots/2ctx/8prompts/seed2 1692 1078 63.7 36.3 63.1
dtd/8shots/2ctx/8prompts/seed3 1692 1038 61.3 38.7 60.9
dtd/8shots/4ctx/4prompts/seed1 1692 1068 63.1 36.9 62.3
dtd/8shots/4ctx/4prompts/seed2 1692 1053 62.2 37.8 61.8
dtd/8shots/4ctx/4prompts/seed3 1692 1042 61.6 38.4 61.2
dtd/8shots/8ctx/2prompts/seed1 1692 1050 62.1 37.9 61.3
dtd/8shots/8ctx/2prompts/seed2 1692 1037 61.3 38.7 61.0
dtd/8shots/8ctx/2prompts/seed3 1692 1012 59.8 40.2 59.2
dtd/8shots/16ctx/1prompts/seed1 1692 1002 59.2 40.8 58.7
dtd/8shots/16ctx/1prompts/seed2 1692 1024 60.5 39.5 60.4
dtd/8shots/16ctx/1prompts/seed3 1692 1016 60.0 40.0 60.0
dtd/16shots/1ctx/16prompts/seed1 1692 1115 65.9 34.1 65.6
dtd/16shots/1ctx/16prompts/seed2 1692 1121 66.3 33.7 65.7
dtd/16shots/1ctx/16prompts/seed3 1692 1141 67.4 32.6 67.0
dtd/16shots/2ctx/8prompts/seed1 1692 1122 66.3 33.7 66.1
dtd/16shots/2ctx/8prompts/seed2 1692 1121 66.3 33.7 65.8
dtd/16shots/2ctx/8prompts/seed3 1692 1128 66.7 33.3 66.4
dtd/16shots/4ctx/4prompts/seed1 1692 1134 67.0 33.0 66.8
dtd/16shots/4ctx/4prompts/seed2 1692 1100 65.0 35.0 64.6
dtd/16shots/4ctx/4prompts/seed3 1692 1130 66.8 33.2 66.5
dtd/16shots/8ctx/2prompts/seed1 1692 1109 65.5 34.5 65.2
dtd/16shots/8ctx/2prompts/seed2 1692 1095 64.7 35.3 64.5
dtd/16shots/8ctx/2prompts/seed3 1692 1103 65.2 34.8 65.0
dtd/16shots/16ctx/1prompts/seed1 1692 1091 64.5 35.5 64.2
dtd/16shots/16ctx/1prompts/seed2 1692 1098 64.9 35.1 64.5
dtd/16shots/16ctx/1prompts/seed3 1692 1084 64.1 35.9 63.9
eurosat/1shots/1ctx/16prompts/seed1 8100 3490 43.1 56.9 38.6
eurosat/1shots/1ctx/16prompts/seed2 8100 3447 42.6 57.4 38.7
