name total correct accuracy error macro_f1
ucf101/1shots/2ctx/8prompts/seed1 3783 2499 66.1 33.9 62.9
ucf101/1shots/2ctx/8prompts/seed2 3783 2505 66.2 33.8 63.0
ucf101/1shots/2ctx/8prompts/seed3 3783 2521 66.6 33.4 63.6
ucf101/1shots/4ctx/4prompts/seed1 3783 2407 63.6 36.4 60.5
ucf101/1shots/4ctx/4prompts/seed2 3783 2495 66.0 34.0 62.9
ucf101/1shots/4ctx/4prompts/seed3 3783 2538 67.1 32.9 64.1
ucf101/1shots/8ctx/2prompts/seed1 3783 2357 62.3 37.7 59.2
ucf101/1shots/8ctx/2prompts/seed2 3783 2429 64.2 35.8 60.3
ucf101/1shots/8ctx/2prompts/seed3 3783 2458 65.0 35.0 61.5
ucf101/1shots/16ctx/1prompts/seed1 3783 2405 63.6 36.4 60.9
ucf101/1shots/16ctx/1prompts/seed2 3783 2374 62.8 37.2 60.2
ucf101/1shots/16ctx/1prompts/seed3 3783 2358 62.3 37.7 59.6
ucf101/2shots/1ctx/16prompts/seed1     
ucf101/2shots/1ctx/16prompts/seed2     
ucf101/2shots/1ctx/16prompts/seed3     
ucf101/2shots/2ctx/8prompts/seed1 3783 2638 69.7 30.3 67.2
ucf101/2shots/2ctx/8prompts/seed2 3783 2622 69.3 30.7 66.3
ucf101/2shots/2ctx/8prompts/seed3 3783 2656 70.2 29.8 67.6
ucf101/2shots/4ctx/4prompts/seed1 3783 2624 69.4 30.6 66.7
ucf101/2shots/4ctx/4prompts/seed2 3783 2601 68.8 31.2 65.7
ucf101/2shots/4ctx/4prompts/seed3 3783 2620 69.3 30.7 66.9
ucf101/2shots/8ctx/2prompts/seed1 3783 2605 68.9 31.1 66.1
ucf101/2shots/8ctx/2prompts/seed2 3783 2518 66.6 33.4 64.0
ucf101/2shots/8ctx/2prompts/seed3 3783 2566 67.8 32.2 65.7
ucf101/2shots/16ctx/1prompts/seed1 3783 2468 65.2 34.8 63.0
ucf101/2shots/16ctx/1prompts/seed2 3783 2473 65.4 34.6 62.5
ucf101/2shots/16ctx/1prompts/seed3 3783 2494 65.9 34.1 63.1
ucf101/4shots/1ctx/16prompts/seed1     
ucf101/4shots/1ctx/16prompts/seed2     
ucf101/4shots/1ctx/16prompts/seed3     
ucf101/4shots/2ctx/8prompts/seed1 3783 2713 71.7 28.3 69.7
ucf101/4shots/2ctx/8prompts/seed2 3783 2692 71.2 28.8 69.0
ucf101/4shots/2ctx/8prompts/seed3 3783 2765 73.1 26.9 71.2
ucf101/4shots/4ctx/4prompts/seed1 3783 2659 70.3 29.7 68.6
ucf101/4shots/4ctx/4prompts/seed2 3783 2731 72.2 27.8 70.2
ucf101/4shots/4ctx/4prompts/seed3 3783 2644 69.9 30.1 68.3
ucf101/4shots/8ctx/2prompts/seed1 3783 2578 68.1 31.9 66.2
ucf101/4shots/8ctx/2prompts/seed2 3783 2647 70.0 30.0 68.1
ucf101/4shots/8ctx/2prompts/seed3 3783 2664 70.4 29.6 68.6
ucf101/4shots/16ctx/1prompts/seed1 3783 2626 69.4 30.6 67.7
ucf101/4shots/16ctx/1prompts/seed2 3783 2644 69.9 30.1 67.8
ucf101/4shots/16ctx/1prompts/seed3 3783 2589 68.4 31.6 66.8
ucf101/8shots/1ctx/16prompts/seed1     
ucf101/8shots/1ctx/16prompts/seed2     
ucf101/8shots/1ctx/16prompts/seed3     
ucf101/8shots/2ctx/8prompts/seed1 3783 2857 75.5 24.5 74.2
ucf101/8shots/2ctx/8prompts/seed2 3783 2890 76.4 23.6 75.0
ucf101/8shots/2ctx/8prompts/seed3 3783 2845 75.2 24.8 73.7
ucf101/8shots/4ctx/4prompts/seed1 3783 2829 74.8 25.2 73.3
ucf101/8shots/4ctx/4prompts/seed2 3783 2875 76.0 24.0 74.4
ucf101/8shots/4ctx/4prompts/seed3 3783 2846 75.2 24.8 73.5
ucf101/8shots/8ctx/2prompts/seed1 3783 2775 73.4 26.6 72.1
ucf101/8shots/8ctx/2prompts/seed2 3783 2882 76.2 23.8 74.6
ucf101/8shots/8ctx/2prompts/seed3 3783 2837 75.0 25.0 73.5
ucf101/8shots/16ctx/1prompts/seed1 3783 2772 73.3 26.7 71.8
ucf101/8shots/16ctx/1prompts/seed2 3783 2738 72.4 27.6 70.8
ucf101/8shots/16ctx/1prompts/seed3 3783 2758 72.9 27.1 71.3
ucf101/16shots/1ctx/16prompts/seed1     
ucf101/16shots/1ctx/16prompts/seed2     
ucf101/16shots/1ctx/16prompts/seed3     
ucf101/16shots/2ctx/8prompts/seed1 3783 2974 78.6 21.4 77.6
ucf101/16shots/2ctx/8prompts/seed2 3783 2961 78.3 21.7 76.8
ucf101/16shots/2ctx/8prompts/seed3 3783 2937 77.6 22.4 76.4
ucf101/16shots/4ctx/4prompts/seed1 3783 2923 77.3 22.7 76.0
ucf101/16shots/4ctx/4prompts/seed2 3783 2920 77.2 22.8 75.7
ucf101/16shots/4ctx/4prompts/seed3 3783 2969 78.5 21.5 77.2
ucf101/16shots/8ctx/2prompts/seed1 3783 2927 77.4 22.6 76.3
ucf101/16shots/8ctx/2prompts/seed2 3783 2898 76.6 23.4 75.3
ucf101/16shots/8ctx/2prompts/seed3 3783 2928 77.4 22.6 76.0
ucf101/16shots/16ctx/1prompts/seed1 3783 2901 76.7 23.3 75.4
ucf101/16shots/16ctx/1prompts/seed2 3783 2876 76.0 24.0 74.5
ucf101/16shots/16ctx/1prompts/seed3 3783 2892 76.4 23.6 75.2
