16shots/1run/8prompts/seed2/index1 3669 2579 70.3 29.7 70.0
16shots/1run/8prompts/seed2/index2 3669 2850 77.7 22.3 77.2
16shots/1run/8prompts/seed2/index3 3669 2843 77.5 22.5 76.6
16shots/1run/8prompts/seed2/index4 3669 2945 80.3 19.7 78.6
16shots/1run/8prompts/seed2/index5 3669 2860 78.0 22.0 75.3
16shots/1run/8prompts/seed2/index6 3669 2899 79.0 21.0 78.6
16shots/1run/8prompts/seed2/index7 3669 3106 84.7 15.3 84.3
oxford_pets/16shots/1run/8prompts/seed3 3669 3266 89.0 11.0 88.8
16shots/1run/8prompts/seed3/index0 3669 2896 78.9 21.1 77.8
16shots/1run/8prompts/seed3/index1 3669 3013 82.1 17.9 81.5
16shots/1run/8prompts/seed3/index2 3669 2750 75.0 25.0 72.3
16shots/1run/8prompts/seed3/index3 3669 2426 66.1 33.9 64.7
16shots/1run/8prompts/seed3/index4 3669 3021 82.3 17.7 81.8
16shots/1run/8prompts/seed3/index5 3669 3046 83.0 17.0 82.5
16shots/1run/8prompts/seed3/index6 3669 3018 82.3 17.7 81.5
16shots/1run/8prompts/seed3/index7 3669 3033 82.7 17.3 82.2
oxford_pets/16shots/1run/16prompts/seed1 3669 3274 89.2 10.8 89.0
16shots/1run/16prompts/seed1/index0 3669 2558 69.7 30.3 67.7
16shots/1run/16prompts/seed1/index1 3669 3044 83.0 17.0 82.2
16shots/1run/16prompts/seed1/index2 3669 2727 74.3 25.7 72.5
16shots/1run/16prompts/seed1/index3 3669 2750 75.0 25.0 73.5
16shots/1run/16prompts/seed1/index4 3669 3160 86.1 13.9 86.2
16shots/1run/16prompts/seed1/index5 3669 2782 75.8 24.2 74.3
16shots/1run/16prompts/seed1/index6 3669 3123 85.1 14.9 84.5
16shots/1run/16prompts/seed1/index7 3669 2952 80.5 19.5 79.7
16shots/1run/16prompts/seed1/index8 3669 3109 84.7 15.3 84.6
16shots/1run/16prompts/seed1/index9 3669 3178 86.6 13.4 85.8
16shots/1run/16prompts/seed1/index10 3669 3101 84.5 15.5 84.0
16shots/1run/16prompts/seed1/index11 3669 2691 73.3 26.7 72.4
16shots/1run/16prompts/seed1/index12 3669 2098 57.2 42.8 54.4
16shots/1run/16prompts/seed1/index13 3669 3160 86.1 13.9 85.6
16shots/1run/16prompts/seed1/index14 3669 2295 62.6 37.4 59.1
16shots/1run/16prompts/seed1/index15 3669 3153 85.9 14.1 85.6
oxford_pets/16shots/1run/16prompts/seed2 3669 3273 89.2 10.8 89.0
16shots/1run/16prompts/seed2/index0 3669 2709 73.8 26.2 73.1
16shots/1run/16prompts/seed2/index1 3669 2447 66.7 33.3 64.0
16shots/1run/16prompts/seed2/index2 3669 3015 82.2 17.8 82.2
16shots/1run/16prompts/seed2/index3 3669 3090 84.2 15.8 84.0
16shots/1run/16prompts/seed2/index4 3669 3044 83.0 17.0 81.5
16shots/1run/16prompts/seed2/index5 3669 2227 60.7 39.3 55.7
16shots/1run/16prompts/seed2/index6 3669 2515 68.5 31.5 66.2
16shots/1run/16prompts/seed2/index7 3669 3043 82.9 17.1 82.9
16shots/1run/16prompts/seed2/index8 3669 3101 84.5 15.5 84.5
16shots/1run/16prompts/seed2/index9 3669 2944 80.2 19.8 79.0
16shots/1run/16prompts/seed2/index10 3669 2843 77.5 22.5 75.5
16shots/1run/16prompts/seed2/index11 3669 2243 61.1 38.9 57.4
16shots/1run/16prompts/seed2/index12 3669 3126 85.2 14.8 85.0
16shots/1run/16prompts/seed2/index13 3669 2947 80.3 19.7 79.9
16shots/1run/16prompts/seed2/index14 3669 2933 79.9 20.1 79.5
16shots/1run/16prompts/seed2/index15 3669 2515 68.5 31.5 65.6
oxford_pets/16shots/1run/16prompts/seed3 3669 3277 89.3 10.7 89.1
16shots/1run/16prompts/seed3/index0 3669 3094 84.3 15.7 84.3
16shots/1run/16prompts/seed3/index1 3669 3062 83.5 16.5 83.1
16shots/1run/16prompts/seed3/index2 3669 2827 77.1 22.9 74.1
16shots/1run/16prompts/seed3/index3 3669 2695 73.5 26.5 71.5
16shots/1run/16prompts/seed3/index4 3669 2630 71.7 28.3 69.1
16shots/1run/16prompts/seed3/index5 3669 2860 78.0 22.0 77.6
16shots/1run/16prompts/seed3/index6 3669 2688 73.3 26.7 71.1
16shots/1run/16prompts/seed3/index7 3669 3050 83.1 16.9 82.6
16shots/1run/16prompts/seed3/index8 3669 2883 78.6 21.4 78.2
16shots/1run/16prompts/seed3/index9 3669 2763 75.3 24.7 74.3
16shots/1run/16prompts/seed3/index10 3669 2661 72.5 27.5 70.7
16shots/1run/16prompts/seed3/index11 3669 3117 85.0 15.0 84.8
16shots/1run/16prompts/seed3/index12 3669 3109 84.7 15.3 83.7
16shots/1run/16prompts/seed3/index13 3669 3180 86.7 13.3 86.2
16shots/1run/16prompts/seed3/index14 3669 2716 74.0 26.0 71.6
16shots/1run/16prompts/seed3/index15 3669 3075 83.8 16.2 83.5
oxford_pets/16shots/1run/32prompts/seed1     
16shots/1run/32prompts/seed1/index0     
16shots/1run/32prompts/seed1/index1     
16shots/1run/32prompts/seed1/index2     
16shots/1run/32prompts/seed1/index3     
16shots/1run/32prompts/seed1/index4     
16shots/1run/32prompts/seed1/index5     
16shots/1run/32prompts/seed1/index6     
16shots/1run/32prompts/seed1/index7     
16shots/1run/32prompts/seed1/index8     
16shots/1run/32prompts/seed1/index9     
16shots/1run/32prompts/seed1/index10     
16shots/1run/32prompts/seed1/index11     
16shots/1run/32prompts/seed1/index12     
16shots/1run/32prompts/seed1/index13     
16shots/1run/32prompts/seed1/index14     
16shots/1run/32prompts/seed1/index15     
16shots/1run/32prompts/seed1/index16     
16shots/1run/32prompts/seed1/index17     
16shots/1run/32prompts/seed1/index18     
16shots/1run/32prompts/seed1/index19     
